iter	Passed	Remaining
557	3772	2987
558	3779	2981
559	3786	2975
560	3793	2968
561	3799	2961
562	3806	2954
563	3813	2947
564	3819	2940
565	3826	2933
566	3832	2926
567	3838	2919
568	3844	2912
569	3851	2905
570	3858	2898
571	3864	2891
572	3870	2884
573	3877	2877
574	3883	2870
575	3889	2862
576	3895	2855
577	3901	2848
578	3908	2841
579	3913	2834
580	3919	2826
581	3926	2819
582	3932	2812
583	3939	2805
584	3946	2799
585	3952	2792
586	3958	2785
587	3964	2778
588	3971	2771
589	3977	2763
590	3984	2757
591	3991	2750
592	3998	2744
593	4004	2736
594	4011	2730
595	4017	2723
596	4023	2716
597	4030	2709
598	4035	2701
599	4041	2694
600	4046	2686
601	4052	2679
602	4059	2672
603	4066	2665
604	4072	2659
605	4078	2651
606	4085	2645
607	4092	2638
608	4099	2631
609	4105	2624
610	4111	2617
611	4117	2610
612	4124	2603
613	4131	2597
614	4137	2590
615	4143	2582
616	4149	2575
617	4154	2567
618	4159	2560
619	4164	2552
620	4170	2545
621	4175	2537
622	4180	2529
623	4185	2522
624	4190	2514
625	4195	2506
626	4201	2499
627	4206	2491
628	4211	2484
629	4216	2476
630	4221	2468
631	4226	2461
632	4231	2453
633	4236	2445
634	4242	2438
635	4249	2432
636	4255	2424
637	4260	2417
638	4266	2410
639	4270	2402
640	4276	2395
641	4282	2387
642	4287	2380
643	4291	2372
644	4296	2364
645	4301	2357
646	4306	2349
647	4311	2342
648	4316	2334
649	4321	2327
650	4326	2319
651	4331	2311
652	4336	2304
653	4341	2297
654	4347	2289
655	4353	2282
656	4357	2275
657	4362	2267
658	4367	2260
659	4373	2252
660	4378	2245
661	4384	2238
662	4389	2231
663	4395	2224
664	4400	2216
665	4405	2209
666	4410	2201
667	4415	2194
668	4420	2186
669	4425	2179
670	4430	2172
671	4436	2165
672	4441	2157
673	4446	2150
674	4452	2143
675	4456	2136
676	4462	2128
677	4467	2121
678	4472	2114
679	4477	2107
680	4483	2099
681	4488	2093
682	4493	2085
683	4498	2078
684	4503	2070
685	4508	2063
686	4513	2056
687	4519	2049
688	4524	2042
689	4529	2034
690	4534	2027
691	4539	2020
692	4545	2013
693	4551	2006
694	4556	1999
695	4562	1992
696	4568	1985
697	4574	1979
698	4580	1972
699	4587	1966
700	4593	1959
701	4598	1952
702	4604	1945
703	4611	1938
